<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Advanced Accele. Ads,AAAP,20171204,81.25,81.75,81.24,81.27,335700
Altaba Inc,AABA,20171204,71.06,71.34,68.16,68.31,15533500
American Airlines Gp,AAL,20171204,50.1,51.47,49.65,49.93,7113800
Atlantic Amer Cp,AAME,20171204,3.5,3.6,3.3,3.6,1600
Applied Optoelect,AAOI,20171204,43.47,44.05,41.53,44.05,1099500
Aaon Inc,AAON,20171204,36.75,37.85,36.6,37.45,254600
Apple Inc,AAPL,20171204,172.48,172.62,169.63,169.8,32542300
Atlas Air Ww,AAWW,20171204,59.85,60.9,57.75,58,415100
Ishares Aca X-Japan ETF,AAXJ,20171204,75.81,75.97,74.95,75,1450000
Axon Inc,AAXN,20171204,24.64,24.88,24.06,24.1,783600
Aoxin Tianli Grp,ABAC,20171204,2.81,2.89,2.66,2.8,21100
Abaxis Inc,ABAX,20171204,48.43,48.89,47.48,47.5,163300
Ameris Bancorp,ABCB,20171204,50.6,51.15,49.85,50.1,255800
Cambium Learning Grp,ABCD,20171204,5.7,5.91,5.6,5.6,63900
Alcentra Capital Com,ABDC,20171204,8.44,8.45,8.25,8.32,88300
Abeona Therapeutics,ABEO,20171204,16.7,16.85,15.25,15.3,737100
Abeona Thera Wts,ABEOW,20171204,11,11.11,10.75,11,1100
Ability Inc,ABIL,20171204,0.46,0.505,0.46,0.505,108900
Arca Biopharma Inc,ABIO,20171204,1.35,1.35,1.25,1.26,42600
Ablynx Nv,ABLX,20171204,23.47,23.49,23.08,23.34,129200
Abiomed Inc,ABMD,20171204,196.52,196.54,189.45,189.57,532400
Allegiance Banc CS,ABTX,20171204,40.05,40.45,38.75,39.8,31000
Arbutus Biopharma Cp,ABUS,20171204,5.65,5.655,5.3,5.3,164800
Acadia Pharmaceutica,ACAD,20171204,30.53,30.97,28.82,28.92,1470100
Atlantic Capital,ACBI,20171204,17.1,17.25,16.8,16.85,94300
Acer Therapeutics Inc.,ACER,20171204,16.69,16.69,16.15,16.15,1700
Acer Therapeutics Inc. WT,ACERW,20171204,0.01,0.02,0.01,0.02,339400
Aceto Cp,ACET,20171204,10.98,11.36,10.75,11.22,495900
Atlantic Coast Finl,ACFC,20171204,9.71,9.87,9.57,9.57,40300
Arch Capital Grp Ltd,ACGL,20171204,95.19,95.19,93.55,93.63,455300
Arch Capital Group Ltd. ADR,ACGLO,20171204,25.55,25.73,25.54,25.64,282000
Arch Capital Group Ltd,ACGLP,20171204,25.1,25.15,25.03,25.15,230600
Acadia Healthcr Co,ACHC,20171204,32.64,32.955,31.56,31.66,1275900
Achillion Pharmaceut,ACHN,20171204,3.07,3.135,2.96,2.99,5466100
Achieve Life Sciences Inc.,ACHV,20171204,1.32,1.39,1.31,1.31,83700
Acacia Communica,ACIA,20171204,38.35,40.1,38.23,39.97,561400
AC Immune S.A.,ACIU,20171204,11.82,12.1,11.44,11.75,320900
Aci Worldwide Inc,ACIW,20171204,23.14,23.14,22.36,22.37,540600
Axcelis Tech Inc,ACLS,20171204,31.5,31.895,28.5,29.15,1271400
Acm Research Inc.,ACMR,20171204,6.79,6.79,6.4,6.46,22700
Acnb Corp,ACNB,20171204,29.45,29.95,29.25,29.4,11100
Acorda Therapeutics,ACOR,20171204,20.95,21.05,20.525,20.8,765000
Aclaris Therapts,ACRS,20171204,22.59,23.04,21.32,21.47,396900
Acelrx Pharmaceutica,ACRX,20171204,2.35,2.35,2.2,2.2,1019600
American Capital Sen,ACSF,20171204,10.9,10.95,10.8,10.9,17100
Acasti Pharma,ACST,20171204,1.69,1.9,1.66,1.675,716900
Actua Corp,ACTA,20171204,15.5,15.6,15.45,15.45,111300
Acacia Res-Acacia,ACTG,20171204,4.25,4.3,4.15,4.25,166100
Ishares ACWI ETF,ACWI,20171204,71.88,72.03,71.36,71.36,2408800
Ishares ACWI Ex-US ETF,ACWX,20171204,49.61,49.61,49.21,49.21,563000
Acxiom Cp,ACXM,20171204,27.78,27.85,27.25,27.38,692000
Adaptimmune Ther Ads,ADAP,20171204,8.23,8.23,7.88,7.93,146900
Adobe Systems Inc,ADBE,20171204,180.34,180.62,168.43,168.44,5931400
Advanced Emissions Solutions Inc,ADES,20171204,8.86,9.345,8.76,8.77,296600
Analog Devices,ADI,20171204,85.56,85.64,83.85,84.79,3723500
Adma Biologics,ADMA,20171204,3,3.03,2.7,2.77,109100
Adamis Pharmaceuticl,ADMP,20171204,4.1,4.1,3.9,4,689000
Adamas Pharma,ADMS,20171204,36.01,36.87,33.99,34.37,1014900
Adomani Inc,ADOM,20171204,3.2,3.67,3.2,3.49,66100
Automatic Data Procs,ADP,20171204,115.38,116.74,114.37,114.81,2913800
Bldrs Asia 50 Fd,ADRA,20171204,33.88,33.92,33.79,33.79,400
Bldrs Dev Mkts 100,ADRD,20171204,23.2,23.2,23.09,23.09,2700
Bldrs EM Mkts 50,ADRE,20171204,42.52,42.52,41.82,41.82,8100
Aduro Biotech,ADRO,20171204,9.6,10,8.85,9.05,648600
Bldrs EUR 100 Fd,ADRU,20171204,22.69,22.69,22.515,22.515,200
Autodesk Inc,ADSK,20171204,108,108.69,105.16,107.95,3985900
Adtran Inc,ADTN,20171204,23.05,23.15,22.55,22.75,243800
Addus Homecare Corpo,ADUS,20171204,33.4,33.95,33.2,33.4,19500
Adverum Biotechnlgs,ADVM,20171204,3.05,3.15,3,3,193400
Advaxis Inc,ADXS,20171204,3.08,3.14,2.95,2.97,807600
Advaxis Inc Wts,ADXSW,20171204,1,1,0.8,0.8,6900
Aegion Corp,AEGN,20171204,27.55,27.93,27.24,27.43,105500
Aehr Test Systems,AEHR,20171204,2.57,2.64,2.335,2.5,309000
Advanced Energy,AEIS,20171204,73.26,74.24,69.58,70.24,678200
Aethlon Medical,AEMD,20171204,1.04,1.06,1.01,1.03,97500
Aerie Pharmaceutical,AERI,20171204,65.7,66.6,61.3,61.4,472900
American Electric Te,AETI,20171204,1.55,1.6,1.5,1.6,24000
Addvantage Techs Grp,AEY,20171204,1.49,1.49,1.43,1.45,5200
Aeterna Zentaris,AEZS,20171204,2.02,2.2,1.96,2.15,1129400
Almost Family Inc,AFAM,20171204,59.9,60.25,58.4,58.7,160100
Atlas Fincl Hld Ord,AFH,20171204,19.05,19.1,18.35,18.6,17000
